Country,Region,Languages,Religion,Population,Area (km2),Happiness,GDP per Cap,Gender Ratio %,Gender Gap,Suicide per 100k,Suicide 5-14 years,Suicide 15-49 years,Suicide  50-69 years,Suicide 70+ years,Unemployment (%),Divorce Rate per 100k,GINI,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish,Hunger (rate),Urbanization (rate),Democracy (value),Holiday (Paid Days),Fertility (per woman),Air Quality (Value),Homicide per 100k,Prison (per 100k),Alchool (per cap),Drugs Usage (per cap),Antidepressants (per cap),Congestion (Per capita),Power Distance,Individualism,Masculinity,Uncertainity Avoidance,Long Term Orientation,Net Migration,Mortality
South Korea,Eastern Asia,Asia (other),Atheist,50823000,97489.00391,5.888,30948.038,49.89,0.6351,29.63449396,0.6,22.995,38.41,88.165,3.63,46.81,31.6,29.4,0.2,46.4,0,22.9,0.8,0.2,0,X,81.4,8,30,1.24,24.78,0.6,109,10.2,0.91,19.9,144.69,60,18,39,85,75,1.6,5.4
Kuwait,Middle East and Northern Africa,Arabic,Muslim,3836000,17820,6.15,30661.68,41.18,0.6292,3.022036871,0.08,3.88,3.28,3.835,2.2,42.31,X,14.3,74.1,0,8.5,2.8,0,0.3,0,5,100,3.93,48,2.08,38.3,1.8,117,0,1.6,X,156.59,80,38,52,68,0,34,2.45
Laos,Southeastern Asia,Asia (other),Buddhist,6741000,230800,4.795,2388.95,49.85,0.6993,7.890041411,0.45,11.375,11.73,17.2,0.65,X,36.4,1.5,0,0.9,0,66,30.7,0.7,0,25.7,36.3,2.14,15,2.8,23.1,7.01,130,10.4,0.67,X,X,X,X,X,X,X,-3.5,6.69
Lebanon,Middle East and Northern Africa,Arabic,Mixed,6533000,10230,5.15,7776.948,49.67,0.6028,4.772223385,0.205,7.095,4.865,8.415,6.63,16.84,31.8,47.3,55.3,0.3,0,0.2,0,0,0,11.6,88.9,4.36,37,2.1,X,2.49,144,1.5,2.19,X,184.61,80,38,52,68,0,41.5,4.11
Liberia,Sub-Saharan Africa,English,Christian,4472000,96320,3.84,684.582,49.83,X,7.160035643,0.38,7.76,30.35,70.08,2.27,X,35.3,85.9,20,1.4,0,0,0.5,0.1,0,34.9,52.1,5.45,21,4.54,X,3.23,50,5.8,0.51,X,X,X,X,X,X,X,1.2,8.21
Libya,Middle East and Northern Africa,Arabic,Muslim,6418000,1759540,5.6,5938.136,49.39,X,8.50960197,0.395,12.33,8.375,12.41,18.36,23.15,X,2.7,96.6,0.2,0,0.3,0,0,0,X,80.7,2.02,22,2.36,X,2.5,139,0,2.58,X,X,80,38,52,68,0,-9.5,5.11
Sri Lanka,Southern Asia,Asia (other),Buddhist,20908000,62710,4.394,3948.152,51.8,0.7019,20.82341197,0.525,23.12,28.835,63.54,4.67,0,39.8,7.3,9.8,0,13.6,70.3,0,0,0,17.1,18.7,6.27,40,2.21,25.2,2.42,105,4.3,0.66,X,274.01,X,X,X,X,X,-4.7,6.37
Lesotho,Sub-Saharan Africa,English,Christian,2059000,30360,4.08,1145.042,50.85,0.753,27.66374454,0.19,36.465,57.22,86.29,26.98,X,44.9,96.7,0.1,3.1,0,0,0.1,0,0,23.2,29,6.54,22,3.22,X,41.25,92,5,0.77,X,X,X,X,X,X,X,-4.7,15.75
Lithuania,Eastern Europe,Europe (other),Christian,2932000,62642.00195,5.928,16933.46,53.95,0.7308,36.80569513,1.015,38.765,51.125,41.64,9.12,41.89,37.3,89.8,0.1,10,0,0,0,0,0,5,68,7.5,34,1.7,14.49,4.57,221,15,0.61,X,94.44,X,X,X,X,X,-9.7,14.4
Luxembourg,Northern Europe,Europe (other),Christian,567000,2430,6.936,108928.178,49.81,0.741,11.82411674,0.19,9.735,17.445,28.67,6.67,65.63,34.9,70.4,2.3,26.8,0,0,0,0.3,0.1,X,91.5,8.81,37,1.47,9.6,0.3,105,13,0.94,52.7,121.21,X,X,X,X,X,18.1,7
Latvia,Northern Europe,Europe (other),Christian,1998000,62180,5.676,15816.114,54.16,0.761,22.54066088,0.43,22.425,31.155,30.82,9.87,46.97,35.6,55.8,0.1,43.8,0,0,0,0.2,0,5,68.3,7.49,32,1.7,13.3,4.36,183,12.9,1.04,13.3,116.67,X,X,X,X,X,-8.1,14.4
Morocco,Middle East and Northern Africa,Arabic,Muslim,34664000,446300,5.172,3046.922,50.46,0.5845,7.352003941,0.445,10.075,9.01,12.83,9.66,X,39.5,0.06,99.9,0,0,0,0,0.01,0.04,9.4,63.5,5.1,25,2.52,X,1.42,237,0.6,1.62,X,131.94,X,X,X,X,X,-2.2,5.12
Moldova,Eastern Europe,Europe (other),Christian,4071000,32890,5.76,3571.022,51.94,0.7037,18.19294851,0.62,17.96,30.875,16.845,3.69,42.47,25.7,97.4,0.6,1.4,0,0,0,0,0.6,X,42.8,5.75,20,1.26,X,4.1,194,15.2,0.65,X,X,X,X,X,X,X,-0.3,11.4
Madagascar,Sub-Saharan Africa,French,Christian,24234000,581800,3.744,501.642,50.15,0.7016,6.10464604,0.6,7.25,24.665,49.975,1.8,X,42.6,85.3,3,6.9,0.05,0,4.5,0.1,0,41.5,38.5,5.64,35,4.24,X,7.69,93,1.9,0.49,X,X,X,X,X,X,X,-0.1,6.47
Mexico,Latin America and Caribbean,Spanish,Christian,121858000,1943950,6.728,9432.128,51.1,0.6917,5.892539281,0.955,8.225,6.845,8.185,4.34,17.31,45.4,95.1,0.1,4.7,0,0.07,0.06,0.02,0.06,6.2,80.7,6.09,13,2.22,20.02,29.07,163,6.5,0.8,X,176.55,81,30,69,82,0,-0.7,5.76
North Macedonia,Eastern Europe,Europe (other),Christian,2079000,25220,5.154,5511.278,49.96,0.7013,8.711207811,0.44,7.12,12.985,21.775,26.07,15.63,34.2,59.3,39.3,1.4,0,0,0,0,0,5.6,58.5,5.97,32,1.51,32.4,1.2,112,8.1,0.49,X,93.8,X,X,X,X,X,-0.9,9.8
Mali,Sub-Saharan Africa,French,Muslim,17439000,1220190,4.22,830.656,50,0.5872,3.564229557,0.35,4.295,14.21,32.76,7.73,X,33,3.2,95,0.6,0,0,1.2,0,0,24.1,43.9,4.92,22,6.15,X,10.9,33,1.3,0.44,X,X,X,X,X,X,X,-3.7,10.65
Malta,Southern Europe,English,Christian,434000,320,6.536,27184.868,49.96,0.6761,5.937345474,0.18,5.64,6.635,12.185,5.39,11.94,29.2,97,0.2,2.5,0.2,0,0,0,0,X,94.7,7.95,41,1.37,9.4,1.59,131,8.1,0.87,X,X,X,X,X,X,X,7.3,7.7
Myanmar,Southeastern Asia,Asia (other),Buddhist,52681000,653080,4.386,1334.302,51.8,X,5.123643093,0.16,6.695,7.485,10.34,0.77,X,30.7,7.8,4,0.5,1.7,80.1,5.8,0.2,0,19.8,31.1,3.55,24,2.2,31,2.27,171,4.8,0.57,X,X,X,X,X,X,X,-2,8.3
Montenegro,Eastern Europe,Europe (other),Christian,627000,13450,5.292,7807.26,50.57,X,12.31995529,0.565,9.6,19.58,30.955,17.52,21.57,39,78.1,18.7,3.2,0,0,0,0,0,5,67.5,5.65,21,1.72,X,2.23,183,8,0.61,X,X,X,X,X,X,X,-1,10.37
Mongolia,Eastern Asia,Asia (other),Buddhist,2998000,1553560,5.03,3935.676,50.57,0.7204,16.56344826,2.935,24.335,16.285,11.63,4.86,32.35,32.7,2.3,3.2,35.9,0,55.1,3.5,0,0,9.7,68.7,6.5,15,2.92,62,6.18,110,7.4,0.53,X,X,X,X,X,X,X,-0.3,6.28
Mozambique,Sub-Saharan Africa,Portuguese,Christian,27042000,786380,4.6025,494.194,51.59,0.7349,9.185057734,0.875,11.74,38.325,78.54,25.3,X,54,56.7,18,17.9,0,0,7.4,0,0,28.8,37.1,3.65,19,5.06,X,3.4,63,2.4,0.52,X,X,X,X,X,X,X,X,10.03
Mauritania,Sub-Saharan Africa,French,Muslim,4046000,1030700,4.356,1583.566,49.89,0.581,3.993579308,0.32,3.905,14.605,35.585,9.85,X,32.6,0.1,99.9,0,0,0,0,0,0,26.7,55.3,3.92,22,4.74,X,9.94,53,0,0.5,X,X,X,X,X,X,X,1.3,7.61
Mauritius,Sub-Saharan Africa,French,Hindu,1259000,2030,5.708,10367.75,50.47,0.6599,9.442025448,0.56,13.305,8.13,9.16,7.92,17.07,36.8,25.3,16.7,0.6,56.4,0,0.7,0.3,0,9.6,40.8,8.22,38,1.36,X,2.92,203,3.6,0.71,X,X,X,X,X,X,X,-1.9,7.7
Malawi,Sub-Saharan Africa,French,Christian,16745000,94280,3.884,369.182,50.73,0.7139,6.919267543,0.705,7.68,27.205,61.125,5.88,X,44.7,82.7,13,2.5,0,0,1.7,0,0,23,17.4,5.5,18,4.53,X,1.73,76,3.7,0.5,X,X,X,X,X,X,X,-1,7.42
Malaysia,Southeastern Asia,English,Muslim,30271000,328550,5.904,10563.056,48.51,0.6518,7.163918043,0.09,7.035,14.29,30.835,3.1,X,41,9.4,63.7,0.7,6,17.7,2.3,0.2,0,13.1,77.2,7.16,19,2.06,19.36,2.11,230,0.9,0.66,X,169.33,104,26,50,36,0,1.7,4.88
Namibia,Sub-Saharan Africa,English,Christian,2315000,823290,4.555,5029.734,51.6,0.7094,9.807063132,0.095,13.34,21.725,26.82,19.59,X,59.1,97.5,0.3,1.9,0,0,0.2,0,0,24.9,52,6.43,20,3.54,X,17.14,295,9.8,0.77,X,X,X,X,X,X,X,-3.3,8.67
Niger,Sub-Saharan Africa,French,Muslim,20002000,1266700,4.108,524.216,49.86,X,3.510501538,0.275,4.625,16.66,36.015,0.34,X,34.3,0.8,98.4,0.7,0,0,0,0,0,30.2,16.6,3.29,34,7.17,X,4.44,44,0.5,0.46,X,X,X,X,X,X,X,0.2,9.15
Nigeria,Sub-Saharan Africa,English,Mixed,181136992,910770,5.13,2227.516,49.36,0.6469,3.902364774,0.41,4.225,14.62,45.67,4.31,X,35.1,48,51,0.04,0,0.01,1,0.06,0,27.9,52,4.12,6,5.59,21.4,9.85,36,13.4,0.46,X,311.39,77,20,46,54,16,-0.4,12.69
Nicaragua,Latin America and Caribbean,Spanish,Christian,6223000,120340,6.028,2050.006,50.71,0.7715,6.02647273,0.835,9.035,7.145,6.88,4.48,17.78,46.2,85.8,0,12.5,0,0,1.4,0.1,0,13.3,59,3.55,20,2.48,X,7.37,332,5.2,0.59,X,X,X,X,X,X,X,-4.5,5.03
Netherlands,Northern Europe,Europe (other),Christian,16938000,33690,7.406,49070.846,50.29,0.7608,12.21845845,0.22,11.485,18,18.855,6.87,52.63,28.5,50.6,6,42.1,0.5,0.2,0.2,0.2,0.2,X,92.2,9.01,28,1.66,10.91,0.59,61,8.7,0.96,46.1,96.74,38,80,14,53,44,0.7,8.7
Norway,Northern Europe,Europe (other),Christian,5200000,365123.0078,7.54,75493.11,49.65,0.8417,11.06011103,0.37,12.12,15.83,13.96,4.3,42.22,27,84.7,3.7,10.1,0.5,0.6,0,0.2,0,X,83,9.87,35,1.72,6.88,0.47,60,7.5,0.85,57.1,90.83,31,69,8,50,20,8.8,7.8
Nepal,Southern Asia,Asia (other),Hindu,27015000,143350,4.81,918.168,54.11,0.6053,7.856490727,0.635,10.935,11.785,17.955,3.1,X,32.8,0.5,4.6,0.3,80.7,10.3,3.7,0.07,0,20.8,20.6,5.28,28,2.1,44.46,2.16,79,2,0.5,X,X,X,X,X,X,X,-15.1,6.5
New Zealand,Australia and New Zealand,English,Christian,4615000,263310,7.312,41321.064,50.83,0.7799,11.88124812,0.63,16.495,12.845,11.67,5.37,41.67,X,57,1.2,36.6,2.1,1.6,0.5,0.7,0.2,X,86.7,9.26,31,1.99,7.52,0.7,201,10.7,2.04,72.8,127.5,22,79,58,49,30,4,6.87
Oman,Middle East and Northern Africa,Arabic,Muslim,4267000,309500,6.85,15533.498,34.79,0.6053,3.143345603,0.18,3.96,3.885,7.035,3.32,X,X,6.5,85.9,0.2,5.5,0.8,0,1,0,11.4,86.3,3.06,31,2.94,X,0.27,36,0.8,1.7,X,121.46,X,X,X,X,X,48.5,2.54
Pakistan,Southern Asia,Asia (other),Muslim,199427008,770880,5.342,1391.424,48.53,0.5459,4.30199754,0.545,7.105,4.28,5.505,3.57,X,33.5,1.6,96.4,0.01,1.9,0.01,0.02,0.01,0,28.5,37.2,4.25,29,3.66,65.81,3.88,38,0.3,0.67,X,159.85,55,14,50,70,0,-1.1,7.11
Panama,Latin America and Caribbean,Spanish,Christian,3968000,74340,6.538,14889.642,49.85,0.7164,4.994085055,0.45,6.59,6.87,8.525,4.53,27.03,49.2,93,0.8,4.8,0,0.2,0.4,0.4,0.4,9.2,68.4,7.05,40,2.54,X,9.39,401,7.9,0.72,X,169.51,95,11,44,86,0,1.5,5
Peru,Latin America and Caribbean,Spanish,Christian,30471000,1280000,5.728,6612.71,50.33,0.6787,3.116984407,0.285,4.17,4.295,6.22,3,X,42.8,93,0.01,6.5,0.01,0.2,1,0.3,0,8.8,78.3,6.6,34,2.32,23.28,7.7,278,6.3,0.59,X,215.46,64,16,42,87,0,-4.2,5.35
Philippines,Southeastern Asia,Asia (other),Christian,102113000,298170,5.386,3187.018,49.67,0.7832,5.384224818,0.255,7.38,8.315,15.57,3.04,X,44.4,85,5.5,7,0,1.5,1.5,0.1,0.03,20.1,47.4,6.64,17,2.81,17.63,6.46,179,6.6,0.64,X,198.33,94,32,64,44,19,-1.7,5.8
Poland,Eastern Europe,Europe (other),Christian,38034000,306190,5.98,13984.286,51.53,0.7031,18.11042677,0.49,19.03,26.98,17.085,7.5,33.33,29.7,94.3,0,5.6,0,0,0,0,0,X,60,6.62,33,1.32,18.67,0.73,195,11.6,0.8,X,114.94,68,60,64,93,0,-1.7,10.4
Puerto Rico,Latin America and Caribbean,Spanish,Christian,3382000,8870,7.04,31199.002,52.16,X,7.262129402,0.11,7.155,10.5,11.205,12,X,X,96.7,0.1,1.9,0,0.3,0.8,0.1,0,X,X,X,15,1.34,10.21,21.09,313,0,0.95,X,160.03,X,X,X,X,X,-13.9,8.08
Portugal,Southern Europe,Portuguese,Christian,10368000,91605.5957,5.304,21463.562,52.64,0.7056,12.49615678,0.1,7.665,16.6,31.78,12.44,70.97,33.8,93.8,0.6,4.4,0.1,0.6,0.5,0,0,X,66.3,8.03,35,1.31,9.26,0.79,125,12.3,0.69,103.6,113.62,63,27,31,104,0,-2.7,10.5
Paraguay,Latin America and Caribbean,Spanish,Christian,6689000,397300,5.666,5525.434,49.11,0.6724,5.690833101,0.935,7.93,7.71,9.265,4.56,X,46.2,96.9,0.1,1.1,0,0,1.7,0.2,0,8.3,62.2,6.24,22,2.51,X,7.14,199,7.2,0.53,X,X,X,X,X,X,X,-2.7,5.42
Qatar,Middle East and Northern Africa,Arabic,Muslim,2566000,11610,6.422,63008.398,23.99,0.6299,5.337030666,0.17,6.21,6.14,7.63,0.16,33.33,X,13.8,67.7,0.9,13.8,3.1,0,0.7,0,X,99.2,3.19,25,1.93,X,0.38,53,2,2,X,142.23,X,X,X,X,X,54.7,1.13
Romania,Eastern Europe,Europe (other),Christian,19925000,230080,5.698,10936.1,51.32,0.6908,12.08517907,0.55,11.58,18.515,16.26,6.81,22.06,36,99.5,0.3,0.1,0,0,0,0,0,5,56.4,6.49,34,1.62,18.32,1.28,107,12.7,0.45,X,129.76,X,X,X,X,X,-3,13.2
Russia,Eastern Europe,Russian,Christian,144984992,16376870,5.8,10338.81,53.67,0.6983,31.17734031,1,38.59,35.35,39.675,5.57,52.17,37.5,73.3,10,16.2,0,0.1,0.2,0,0.2,5.8,74.8,3.11,38,1.78,9.85,8.21,346,11.7,0.96,X,184.38,X,X,X,X,X,2.5,13
Rwanda,Sub-Saharan Africa,English,Christian,11369000,24670,3.44,772.002,50.9,X,6.210525039,0.635,6.18,24.075,60.8,1.16,X,43.7,93.4,4.8,3.6,0,0,1,0.2,0,29.1,17.4,3.16,26,4.16,X,2.52,511,9,0.59,X,X,X,X,X,X,X,-2,5.6
Saudi Arabia,Middle East and Northern Africa,Arabic,Muslim,31718000,2149690,6.376,21557.946,43.12,0.5879,3.094039745,0.06,3.82,4.665,6.605,5.59,21.15,X,4.4,93,0.7,1.1,0.3,0.3,0.3,0,8.5,84.3,1.93,30,2.51,22.5,1.3,197,0.2,1.68,X,131.67,80,38,52,68,0,11.7,3.41
Sudan,Sub-Saharan Africa,Arabic,Muslim,38903000,,4.2425,1077.25,50.07,X,4.111637787,0.39,7,6.15,8.325,12.78,X,35.4,5.4,90.7,1,0,0,2.8,0,0,32.8,35.3,2.7,20,4.59,X,5.16,52,0.5,1.39,X,X,X,X,X,X,X,-2.9,7.43
Senegal,Sub-Saharan Africa,French,Muslim,14578000,192530,4.392,1352.654,51.37,0.6923,7.577820662,0.53,7.025,29.48,72.815,4.85,X,40.3,5,92,0.2,0,0,2.8,0,0,17.9,48.1,5.81,32,4.84,X,7.38,68,0.7,0.47,X,X,X,X,X,X,X,-3.1,6.14
Singapore,Southeastern Asia,English,Mixed,5592000,709.0000153,6.542,60962.146,47.67,0.7,9.016076559,0.31,8.545,12.405,24.525,1.69,27.94,X,18.2,14.3,16.4,5.2,33.9,2.3,9.7,0,X,100,6.02,18,1.24,19,0.16,199,2,0.91,X,147.77,74,20,48,8,48,11.8,4.8
Sierra Leone,Sub-Saharan Africa,English,Muslim,7172000,72180,4.56,525.496,50.17,X,5.797440155,0.42,6.55,21.115,48.37,4.7,X,35.7,21,78,0.1,0,0,1,0,0,30.4,42.9,4.86,18,4.56,X,1.71,60,5.7,0.49,X,X,77,20,46,54,16,-0.6,12.63
El Salvador,Latin America and Caribbean,Spanish,Christian,6325000,20720,6.124,3935.348,52.98,0.6609,10.18205641,0.995,14.195,12.245,14.145,4,22.86,38.6,88.2,0.1,11,0,0,0.5,0.3,0,9.6,73.4,6.15,26,2.1,X,52.02,590,3.8,0.6,X,X,66,19,40,94,0,-7.7,6.96
Somalia,Sub-Saharan Africa,Arabic,Muslim,13797000,627340,5.06,0,50.11,X,5.087263896,0.555,6.165,23.455,44.975,6.08,X,X,0.01,99.8,0,0,0,0,0,0,X,46.1,X,22,6.36,X,4.31,X,0,0.49,X,X,X,X,X,X,X,-3.6,11.53
Serbia,Eastern Europe,Europe (other),Christian,8877000,87460,5.338,6454.846,50.98,0.7116,18.61624588,0.24,12.66,27.11,52.845,17.92,25.49,36.2,92.5,4.2,3.3,0,0,0,0,0,6.5,56.4,6.41,31,1.46,23.3,1.23,156,11.1,0.45,X,110.26,X,X,X,X,X,0.7,14.6
South Sudan,Sub-Saharan Africa,English,Christian,10716000,,3.38,223.93,49.98,X,5.930095311,0.68,7.05,26.33,62.44,11.99,X,46.3,60.5,20,0.5,0,0,32.9,0,0,X,20.2,X,32,4.94,X,13.9,50,0,0.5,X,X,X,X,X,X,X,-2,10.83
Suriname,Latin America and Caribbean,Europe (other),Christian,559000,156000,6.27,6517.294,49.69,0.6369,25.57791943,1.375,30.76,38.715,56.48,7.22,30.95,57.6,51.6,15.2,5.4,19.8,0.6,5.3,1.8,0.2,10.8,66.1,6.98,30,2.49,X,5.5,183,5.1,0.69,X,X,X,X,X,X,X,-1.8,7.16
Slovakia,Eastern Europe,Europe (other),Christian,5436000,48080,6.11,17825.316,51.41,0.6857,13.11002151,0.295,12.425,20.005,19.16,11.48,30.91,25.2,85.3,0.2,14.3,0,0,0,0,0,5,53.8,7.17,35,1.4,16.1,1.37,195,11.5,0.69,38.9,101.44,X,X,X,X,X,0.4,9.9
Slovenia,Eastern Europe,Europe (other),Christian,2071000,20141.99951,5.89,23559.778,50.31,0.7155,20.89993348,0.74,15.995,30.67,41.105,8.96,37.5,24.2,78.4,3.6,18,0,0,0,0,0,X,55.1,7.5,33,1.57,X,0.48,69,12.6,0.91,58.6,103.38,X,X,X,X,X,1.6,9.6
Sweden,Northern Europe,Europe (other),Christian,9765000,407310,7.316,52700.256,50.02,0.8129,14.32253687,0.3,14.755,20.58,19.85,7.4,44.44,28.8,76.2,4.6,27,0.2,0.4,0.2,0.2,0.1,X,88,9.39,34,1.85,6.63,1.08,61,9.2,0.68,96.8,103.37,31,71,5,29,33,5.3,9.3
Swaziland,Sub-Saharan Africa,English,Christian,1104000,17200,4.54,3814.662,51.79,X,19.68622153,0.16,30.305,37.275,33.145,26.33,X,54.6,88.1,2,10.1,0.1,0,1,0.4,0,X,24.2,3.14,10,3.07,X,9.5,258,9.9,0.79,X,X,X,X,X,X,X,-7.7,11.24
Syria,Middle East and Northern Africa,Arabic,Muslim,17997000,183630,3.292,0,49.63,0.5661,2.608714339,0.12,3.8,4.58,6.35,X,12.26,35.8,5.2,92.8,2,0,0,0,0,0,X,55.5,1.43,37,2.94,32.2,0.88,60,0.3,1.5,X,X,X,X,X,X,X,-54.7,5.77
Chad,Sub-Saharan Africa,French,Mixed,14111000,1259200,4.004,714.222,50.1,0.5588,5.228195238,0.47,6.54,24.66,56.195,5.66,X,43.3,40.6,58,2.5,0,0,1.4,0.1,0,44.2,23.5,1.61,27,6.05,X,9.04,59,1.6,0.45,X,X,X,X,X,X,X,1.5,12.77
Togo,Sub-Saharan Africa,French,Muslim,7323000,54390,3.544,629.794,50.31,X,7.471346328,0.415,8.525,27.675,52.99,1.84,X,43.1,43.7,20,6.2,0,0,35.6,0.6,0,23.9,42.8,3.3,22,4.52,X,9,66,3.1,0.48,X,X,X,X,X,X,X,X,8.84
Thailand,Southeastern Asia,Asia (other),Buddhist,68715000,510890,6.286,6706.172,51.16,0.6928,12.06088838,0.285,14.43,13.48,17.5,0.6,25.45,36.4,0.9,5.5,0.3,0.1,93.2,0.09,0,0,9.7,51.4,6.32,19,1.54,24.25,3.24,531,8.3,0.81,X,172,64,20,34,64,56,0.5,7.39
Tajikistan,Central Asia,Asia (other),Muslim,8454000,138790,5.1,847.014,49.55,0.6682,5.261639483,0.54,7.915,7.805,7.685,10.36,10.37,34,1.6,96.7,1.5,0,0,0,0,0,X,27.5,1.93,X,3.62,X,1.61,121,3.3,0.47,X,X,X,X,X,X,X,-3.4,5.2
Turkmenistan,Central Asia,Asia (other),Muslim,5565000,469930,5.584,5275.192,50.76,X,8.833288489,0.655,13.36,8.55,9.985,3.58,X,40.8,6.4,93,0.5,0,0,0,0,0,11.8,52.5,1.72,X,2.93,X,4.22,552,5.4,0.52,X,X,X,X,X,X,X,-1.9,7.1
Trinidad and Tobago,Latin America and Caribbean,English,Christian,1370000,5130,6.178,17022.244,50.54,0.7166,11.21422544,0.7,14.715,12.755,12.6,3.39,34.92,40.3,65.9,6,1.9,22.7,0.3,1.9,1.4,0,9.1,53.2,7.16,24,1.77,X,30.88,292,8.4,0.73,X,X,X,X,X,X,X,-0.6,8.07
Tunisia,Middle East and Northern Africa,Arabic,Muslim,11180000,155360,4.728,3559.436,50.43,X,3.305262023,0.185,3.775,4.13,10.065,15.22,0,32.8,0.2,99.5,0.2,0,0,0,0,0.1,6.2,69.6,6.72,16,2.25,X,3.05,195,1.9,1.69,X,X,X,X,X,X,X,-2.8,6.3
Turkey,Middle East and Northern Africa,Asia (other),Muslim,78529000,769630,5.414,10139.134,50.78,0.6081,3.568761736,0.4,4.66,4.065,5.415,10.24,21.33,41.9,0.4,98,1.2,0,0.05,0.03,0.2,0.03,5,76.1,4.09,26.5,2.1,20.62,2.59,324,2,1.52,41,195.99,66,37,45,85,0,4.7,5.4
Tanzania,Sub-Saharan Africa,English,Mixed,51483000,885800,3.466,1020.47,50.09,0.6928,4.828982331,0.545,4.985,19.33,46.86,2.12,X,40.5,61.4,35.2,1.4,0.1,0,1.8,0.07,0,28.6,35.2,5.16,37,5.08,X,6.95,59,9.4,0.51,X,X,64,27,41,52,25,-1,7.16
Uganda,Sub-Saharan Africa,English,Christian,38225000,200520,4.02,772.42,50.88,0.7086,5.212061073,0.535,5.77,25.195,69.82,1.9,X,42.8,86.7,11.5,0.5,0.3,0,0.9,0.1,0,30.6,25,5.02,28,5.39,29.1,10.42,124,9.5,0.54,X,X,X,X,X,X,X,-1.7,7.35
Ukraine,Eastern Europe,Russian,Christian,44922000,579290,4.306,2741.784,53.74,0.6935,33.66279135,1.24,43.03,34.63,35.91,9.14,41.79,26.1,83.8,1.2,14.7,0,0,0,0,0,5,69.6,5.9,37,1.51,16.6,6.2,148,8.6,0.7,X,145.84,X,X,X,X,X,0.6,14.9
Uruguay,Latin America and Caribbean,Spanish,Christian,3412000,175020,6.432,16358.23,51.77,0.6803,19.87375755,0.65,21.19,27.415,38.515,7.49,0,39.7,57.9,0.1,40.7,0,0,0.8,0.3,0.3,5,95.5,8.38,25,2,X,12.06,295,10.8,0.94,X,139.31,61,36,38,100,0,-1.8,9.44
United States,North America,English,Christian,320878016,9147420,6.998,60533.23,50.54,0.7392,14.83627494,0.82,16.9,20.35,19.12,5.28,44.62,41.4,78.3,1.1,16.4,0.6,1.2,0.2,0.6,1.8,X,82.7,7.96,0,1.84,9.04,4.96,655,9.8,3.26,X,152.2,40,91,62,46,29,3.2,8.44
Uzbekistan,Central Asia,Asia (other),Muslim,30930000,425400,6.046,2052.664,50.19,X,9.534245054,1.745,13.4,11.86,11.345,7.94,14.1,35.3,2.3,96.7,0.8,0,0,0,0,0,10.7,50.4,2.01,15,2.49,41.2,1.1,150,2.7,0.48,X,X,X,X,X,X,X,-0.4,4.9
Venezuela,Latin America and Caribbean,Spanish,Christian,30082000,882050,5.532,0,50.29,0.706,8.908768842,0.535,12.655,9.525,12.32,6.82,36.36,46.9,89.3,0.3,10,0,0,0.2,0.07,0,16.9,88.3,2.88,15,2.34,X,36.69,178,5.6,0.63,X,155.42,81,12,73,76,0,-2.9,6.41
Vietnam,Southeastern Asia,Asia (other),Folk Religion,92677000,310070,5.154,2384.962,50.15,0.6863,7.701290558,0.13,7.93,14.28,21.32,2.12,7.02,35.7,8.2,0.2,29.6,0.16,16.4,45.3,0.4,0,15.3,37.3,3.08,22,2.01,34.06,1.52,128,8.4,0.68,X,110.26,X,X,X,X,X,-0.9,6.13
Kosovo,Eastern Europe,Europe (other),Muslim,,,5.606,4053.212,0,X,X,X,X,X,X,X,X,29,11.4,87,1.6,0,0,0,0,0,X,X,X,32,2.09,23.5,2.4,95,0,X,X,X,X,X,X,X,X,X,7
Yemen,Middle East and Northern Africa,Arabic,Muslim,26498000,527970,3.626,855.946,49.6,0.5128,4.739257368,0.365,8.335,7.13,8.775,13.81,X,36.7,0.2,99.1,0.1,0.6,0,0,0,0,45.9,36.6,1.95,37,4.1,X,6.66,53,0.1,1.4,X,X,X,X,X,X,X,-0.6,5.97
South Africa,Sub-Saharan Africa,English,Christian,55386000,1213090,4.674,5903.092,50.64,0.751,10.7608265,0.045,13.725,18.265,20.555,25.16,17.14,63,81.2,2,14.9,1.7,0.2,0.4,0.3,0.1,14,67.4,7.24,27,2.48,21.56,36.4,275,9.3,0.96,X,191.72,49,65,63,49,0,3.5,9.77
Zambia,Sub-Saharan Africa,English,Christian,15879000,743390,4.586,1400.184,50.52,0.6312,6.601500107,0.705,7.615,28.8,66.685,7.75,X,57.1,97.6,1,0.5,0.1,0,0.3,0.9,0,38.1,44.6,5.09,31,4.92,X,5.3,123,4.8,0.51,X,X,64,27,41,52,25,-0.7,7.17
Zimbabwe,Sub-Saharan Africa,English,Christian,13815000,386850,4.006,1521.11,52.45,X,18.17790823,0.23,25.655,50.06,86.905,5.09,X,44.3,87,1,7.9,0,0,3.8,0.3,0.08,34.4,32.2,3.16,33,3.9,X,6.67,114,4.8,0.77,X,X,X,X,X,X,X,-9.4,8.67