Country,Duration of compulsory education (years),"Gross enrolment ratio, lower secondary, both sexes (%)","Gross enrolment ratio, lower secondary, female (%)","Gross enrolment ratio, lower secondary, gender parity index (GPI)","Gross enrolment ratio, lower secondary, male (%)","Gross enrolment ratio, primary and lower secondary, both sexes (%)","Gross enrolment ratio, primary and lower secondary, female (%)","Gross enrolment ratio, primary and lower secondary, gender parity index (GPI)","Gross enrolment ratio, primary and lower secondary, male (%)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, primary, female (%)","Gross enrolment ratio, primary, gender parity index (GPI)","Gross enrolment ratio, primary, male (%)","Gross enrolment ratio, secondary, both sexes (%)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of primary education, both sexes (%)","Gross intake ratio to Grade 1 of primary education, female (%)","Gross intake ratio to Grade 1 of primary education, gender parity index (GPI)","Gross intake ratio to Grade 1 of primary education, male (%)","Gross outbound enrolment ratio, all regions, both sexes (%)",Internet users (per 100 people),"Labor force, female (% of total labor force)","Labor force, total","Mortality rate, under-5 (per 1,000)","Net enrolment rate, lower secondary, both sexes (%)","New entrants to Grade 1 of primary education, percentage female (%)",Official entrance age to compulsory education (years),Official entrance age to early childhood education (years),Official entrance age to lower secondary education (years),Official entrance age to pre-primary education (years),Official entrance age to primary education (years),Official entrance age to upper secondary education (years),Percentage of enrolment in lower secondary education in private institutions (%),Percentage of enrolment in primary education in private institutions (%),Percentage of enrolment in secondary education in private institutions (%),Percentage of enrolment in upper secondary education in private institutions (%),Percentage of students in lower secondary education who are female (%),Percentage of students in lower secondary general education who are female (%),Percentage of students in primary education who are female (%),Percentage of students in secondary education who are female (%),Percentage of students in secondary general education who are female (%),Percentage of students in upper secondary education who are female (%),Percentage of students in upper secondary general education who are female (%),"Gross enrolment ratio, pre-primary, both sexes (%)","Gross enrolment ratio, pre-primary, female (%)","Gross enrolment ratio, pre-primary, gender parity index (GPI)","Gross enrolment ratio, pre-primary, male (%)","Outbound mobility ratio, all regions, both sexes (%)",Percentage of enrolment in pre-primary education in private institutions (%),Percentage of students in pre-primary education who are female (%),Percentage of students in tertiary education who are female (%),Percentage of students in early childhood education who are female (%),"Gross enrolment ratio, early childhood education, both sexes (%)"
Sudan,8,55.43964,53.72404333,0.94024,57.11335667,70.63533667,68.07360333,0.93066,73.13144,75.2898,72.47224667,0.928556667,78.03412333,45.45913,38.35631333,83.80837667,81.12982,0.938603333,86.4144,0.32947,23.86009856,30.093834,11723165.8,63.4,0,47.72664667,6,4,12,4,6,14,11.12265333,8.329353333,18.01724333,25.15797333,47.83385333,47.83385333,47.48762667,49.21766667,49.55692667,50.63377333,51.37975333,45.49477333,45.93590333,1.019503333,45.06605333,1.94731,28.55395667,49.76546667,49.83846,49.76546667,45.49477333
Haiti,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993646667,17.30750808,47.32236736,4871939.4,67.7,0,0,6,0,12,3,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29196,8.129307995,48.9816153,2070244.8,52.475,0,0,6,3,12,3,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09409,0,0,39.92631,0,0
Nepal,9,98.8055325,101.794925,1.062235,95.9391925,126.0427275,128.9723975,1.047315,123.1911875,143.6823825,146.350985,1.0376025,141.0610225,73.2194125,55.0783,151.7434675,152.318125,1.0074225,151.17956,1.651643333,23.75679395,55.81383506,15890681,34.2,57.39297,50.1471525,4,3,10,3,5,13,16.61389,15.9784575,0,0,50.6244875,50.6244875,50.652035,50.9545375,51.1185425,51.3435375,51.7360525,88.24979,84.42968,0.9173775,92.04406,13.35230333,35.6174475,47.6692425,52.5153175,47.6692425,88.24979
Ethiopia,8,43.14386,41.4276,0.924865,44.826305,78.88455,75.51003,0.91872,82.19005,100.97149,96.0853,0.90851,105.76165,34.93947,17.54446,141.51954,129.21098,0.84144,153.55911,0,15.94671696,46.36539482,49874226.4,59.2,33.790565,45.14692,7,4,13,4,7,17,4.86011,4.95433,6.61975,15.07528,47.521295,47.521295,47.10823,48.45785,47.5309,49.00181,47.46889,29.43704,28.6452,0.94823,30.2091,0,18.22311,48.03955,0,48.03955,29.43704
Sierra Leone,9,57.8388,57.0106775,0.9717975,58.665535,99.351465,99.901415,1.011235,98.8018975,117.8941925,119.03423,1.0197325,116.75373,40.76128,26.61120333,166.3515025,168.432665,1.0250075,164.2694,0,9.039201994,49.59278367,2550569.2,113.075,38.91268,50.637195,6,3,12,3,6,15,7.4788475,5.2799925,8.997753333,12.29469,49.22286,49.22286,50.5011975,47.94647,47.88313,45.94277,46.00700333,11.9933275,12.63392,1.1125475,11.35324,0,34.8287875,52.64794,0,52.64794,11.9933275
Mauritania,9,39.4057775,39.3983675,0.9998175,39.41281,77.3555425,79.1685525,1.047605,75.5929825,99.4740625,102.3459975,1.0588025,96.681935,33.3739975,24.6005325,111.8958775,113.141545,1.021975,110.68597,1.213296667,18.00003012,31.44484081,1173042,79.525,23.2771125,49.813835,6,0,12,3,6,16,23.64955667,15.17105,26.82999,34.45545,49.275285,49.275285,50.723155,48.78069,48.8541475,47.591275,47.80243,10.49137,11.72213,1.26077,9.29758,22.82984,0,55.01354,32.83262,55.01354,4.98788
Kenya,12,91.81477,92.18237,1.007975,91.451865,100.731145,100.87586,1.002855,100.588725,103.433455,103.51585,1.001585,103.352455,0,0,94.574785,92.75244,0.96251,96.365535,0.299836667,17.00498502,48.79363927,22388894.4,43.7,0,48.608165,6,3,12,3,6,14,13.276055,0,0,0,49.880445,49.880445,49.624005,0,48.85948,0,48.00004,75.44706,74.69999,0.9806,76.181975,2.82803,32.766415,49.09472,41.78600667,49.09472,75.44706
Djibouti,10,54.956024,55.360884,1.012586,54.630002,63.802404,64.908358,1.032272,62.893224,70.939374,72.588146,1.044164,69.5973,49.230076,41.634572,67.102482,67.461878,1.01325,66.874832,0,26.9129186,39.658225,399064.6,62.25,41.4148925,46.597202,6,4,11,4,6,15,8.897428,12.508532,9.950748,11.80368,45.271386,45.271386,46.36988,44.850978,45.25288,44.110634,45.210332,6.992746,7.057028,1.028014,6.944676,0,86.124638,48.155786,0,48.155786,6.992746
Armenia,12,92.01710333,93.05000333,1.021113333,91.12481667,92.85378333,93.48925,1.012846667,92.30198,94.08008,94.41919,1.0067325,93.784785,84.578285,79.06531,95.49958,95.729175,1.004655,95.297745,3.32359,62.73109727,46.31073115,1311081.8,13.375,89.47398,46.8380325,6,3,10,3,6,15,1.86165,2.1795875,2.389865,3.43664,46.87983333,46.87983333,46.779595,47.410205,47.96185333,48.692605,51.20569,47.7418825,49.945365,1.09018,45.801685,6.677176667,2.9111975,48.9762375,55.3483175,48.9762375,47.7418825
Botswana,0,96.28955,97.76233,1.03073,94.84778,101.30049,100.86391,0.99151,101.72733,103.23839,102.06448,0.97776,104.38555,0,0,0,0,0,0,1.50514,41.22501592,48.74597839,1026228.4,38.525,57.53128,0,0,3,13,3,6,16,0,7.39021,0,0,50.22485,50.22485,48.86193,0,51.54317,0,55.16997,21.44787,21.81983,1.03489,21.08422,5.581706667,70.64473,50.2917,58.31359333,50.2917,21.44787
Myanmar,5,71.87721333,73.73350667,1.052843333,70.03528667,93.04801667,92.55041333,0.98952,93.54059333,111.14492,108.6685633,0.956816667,113.5917767,64.34578,49.36043333,135.29394,130.57755,0.93306,139.94577,0.182,25.82577379,40.8621055,24596221,48.85,63.48096,47.92447,5,0,10,3,5,14,3.750356667,4.66916,4.97984,8.509216667,51.09341333,51.09341333,48.59658333,52.00845333,52.06127,54.67517667,54.89881,9.127326667,9.23423,1.02365,9.022026667,1.16223,29.86383333,50.20311,58.56056,0,0
Georgia,9,106.91531,106.895585,0.999735,106.9332625,102.4620175,102.6950525,1.004315,102.25369,100.5216425,100.8765575,1.006785,100.2026525,102.40526,98.09652,95.64539333,95.82992333,1.003736667,95.47668667,3.707666667,57.42579584,44.99667947,2055086.4,10.125,94.7041575,47.62056,6,3,12,3,6,15,9.0778875,10.3073525,10.11792,11.193,46.9214,46.9214,47.4386,47.3279925,47.5548975,47.74759,48.272315,0,0,0,0,7.14091,0,0,51.5462,0,0
Malawi,8,48.159995,46.9949175,0.9535075,49.325295,109.8315675,110.32351,1.0089825,109.3427575,144.719115,146.29598,1.0219125,143.1560225,40.030395,22.150085,138.740785,136.51236,0.97022,140.93845,0,10.1840548,48.67461165,7576538.6,54.325,31.89968,48.8729,6,3,12,3,6,16,6.629035,1.67014,9.49442,22.68855,48.7683725,48.7683725,50.3157475,48.2005575,48.2005575,45.4497075,45.4497075,83.58057,84.0181,1.01045,83.14944,0,4.79436,49.8917,0,49.8917,83.58057
Sri Lanka,10.6,99.1045175,98.51944,0.988255,99.688235,100.1552525,99.411465,0.9853275,100.8922925,100.98256,100.1172975,0.983165,101.835395,98.66356667,97.94101,97.51308,97.00929667,0.989796667,98.00677667,1.227606667,20.87111597,34.46938704,8818170.4,8.05,96.8573,49.22418333,5,4,10,4,5,14,2.96179,3.0159,0,0,49.6387625,49.6387625,49.1928025,51.03292333,51.3029175,52.49728667,53.2387175,91.49259,91.07316,0.99097,91.90308,6.40931,78.92828,50.63274,60.6147375,50.63274,91.49259
Cameroon,6,69.467255,64.84808,0.87594,74.032465,99.233465,93.589905,0.89303,104.80027,111.512635,105.6110125,0.900205,117.3249725,59.545125,44.77644,125.66914,119.0531775,0.90068,132.1730775,1.143713333,22.36203053,47.01038877,10711478.2,80.8,42.566965,46.96141,6,4,12,4,6,16,25.42693,23.53120333,28.147555,34.4301,46.400895,49.17254,46.993385,45.85857,48.372,44.6063,46.44439,36.513095,36.8334,1.0175575,36.19857,8.302563333,62.57585,49.98012,45.26021,49.98012,36.513095
Bulgaria,11,88.85269667,86.91452333,0.95859,90.67736333,90.28645333,89.15902667,0.976073333,91.35013667,91.53842,91.11517667,0.99108,91.93846,100.0442733,111.7389033,91.14188,90.87234333,0.994353333,91.39671,6.289665,61.16848993,46.31691592,3315018,7.6,78.99076333,48.48817,5,3,11,3,7,15,2.866863333,1.101876667,2.947066667,3.008996667,47.43594333,47.13306667,48.3716,47.73979,50.47045667,47.99091,55.97727333,77.97286333,77.41479667,0.986123333,78.50150333,8.885935,1.504083333,48.29723667,54.07091,48.29723667,77.97286333
Egypt,12,98.58824,98.64280667,1.00108,98.53676,103.6440267,103.7515267,1.002013333,103.5427433,105.9373267,106.06969,1.002423333,105.8126633,86.59068,74.33532667,103.1327,103.49392,1.006876667,102.7927367,0.376613333,42.73549822,23.57044931,30013778.8,22.375,87.35331,48.65819,6,4,12,4,6,15,6.611193333,9.087456667,7.49126,8.683966667,48.56275,49.47386,48.56192667,48.18526667,50.14651333,47.67222667,51.78988,29.16652667,28.99432333,0.988706667,29.32855667,1.08618,24.89242,48.19112667,49.09694,48.19112667,29.16652667
Yemen,9,60.50533,51.50573,0.74461,69.17162,83.22134,75.90508,0.84097,90.25888,93.63748,87.10226,0.87172,99.92056,51.58068,42.13459,103.21989,98.88711,0.92088,107.38302,0,25.12765753,7.910595059,6303746.2,55,50.05521,46.94465,6,0,12,3,6,15,4.34511,5.03547,3.85235,3.1034,41.7599,41.7599,45.59546,41.16112,41.22708,40.25103,40.4121,1.59278,1.50502,0.89741,1.67707,0,40.49009,46.2913,0,0,0
Angola,6,71.66933,53.60927,0.59571,89.99164,0,0,0,0,113.47796,105.88815,0.87413,121.13591,50.67148,26.95673,0,0,0,0,0.496265,13.24635979,50.15356064,12285034.6,82.425,14.64935,0,6,1,12,4.2,6,15,19.45327,14.11856,21.46779,27.51675,37.67001,37.55801,46.86435,39.52354,39.0578,45.0891,48.5812,39.61102,37.31461,0.89071,41.89328,5.600185,19.99997,46.95575,45.129315,46.95575,12.46435
Mali,9,52.8537975,48.29017,0.84496,57.2946475,70.0559,65.6059525,0.8823625,74.372795,77.156205,72.7676375,0.893935,81.408155,41.815885,29.1945875,70.93832,67.05942333,0.897583333,74.69043333,0.55633,11.48072883,43.77817259,6877254.4,103.325,29.58789,46.47059,7,3.75,13,3.5,7,16,28.26843,39.52281,40.79048667,67.02089333,45.08303,45.08303,46.4116,43.54993,43.95649,40.3773025,40.1311825,5.5602575,5.7001975,1.050835,5.42508,10.10927,77.90015,50.37218,29.65822333,50.37218,5.5602575
Congo (Brazzaville),10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29196,8.129307995,48.9816153,2070244.8,52.475,0,0,6,3,12,3,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09409,0,0,39.92631,0,0
Comoros,6,65.79244,67.2552,1.044655,64.377405,87.01005,86.82162,0.99564,87.192185,99.47711,98.32954,0.97778,100.585245,57.489575,45.46789,93.47321,94.22387,1.01442,92.74945,8.45703,7.958551484,41.85944855,211207.8,71.15,43.37044,49.417615,6,3,12,3,6,16,48.64921,18.70718,53.686525,64.17321,50.26303,50.41445,48.556005,50.73166,50.86891,51.717475,51.82627,21.112865,21.46782,1.0336,20.770795,0,48.441825,49.90169,0,49.90169,21.112865
Uganda,7,0,0,0,0,0,0,0,0,103.1179233,104.5053233,1.02704,101.7528733,0,0,139.4499467,139.7537767,1.004353333,139.15149,0,21.13918695,49.20195732,15323203.6,50.275,0,49.66014667,6,3,13,3,6,17,0,18.19483,0,0,0,48.41519667,50.26070333,0,47.54845333,0,40.12348,13.35001333,13.60901667,1.039173333,13.09583333,0,100,50.4902,0,50.4902,13.35001333
Senegal,11,54.9491825,54.32025,1.1339,47.915735,73.50962,76.513495,1.14234,66.968525,83.979685,89.2990675,1.1334975,78.7855875,47.3951325,36.28862,97.2466225,102.17401,1.1054225,92.44287,0.912073333,32.88825601,40.30988445,4003162.6,46.75,37.33925,51.86944,6,3,12,3,6,16,17.391355,16.08209,22.04873,31.900765,52.64558,52.160605,52.5325725,51.813075,51.10345,50.055375,48.63355,16.14392,17.108945,1.12524,15.2043,8.256686667,57.90467,52.2817925,38.340865,52.2817925,16.14392
Gabon,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.94560343,40.19159261,680525.6,47.475,0,0,6,3,11,3,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,29.8628,25.52537667,0.748316667,34.05019667,58.16697667,52.87862333,0.83544,63.27945,73.25481333,67.44399333,0.85496,78.87652333,22.49064667,10.89465333,84.515085,78.7251925,0.8746,90.1170875,0.313113333,5.568444313,42.48288853,7812631.2,88.75,21.86019333,45.831085,0,4,13,4,7,17,14.06343,3.4465,16.32247333,26.04603333,41.9364,42.5411875,45.26886333,41.82225,41.29804,41.29432,33.47951,7.7909575,7.985735,1.0503975,7.60275,8.976613333,15.8083625,50.37005,31.822155,50.37005,7.7909575
Cambodia,0,67.51073,69.5929425,1.0624525,65.455705,97.005075,96.7618775,0.9950525,97.2403225,110.62351,109.48493,0.979835,111.713195,0,29.29761,111.264745,108.8603225,0.95849,113.5405475,0.347575,27.81964784,48.40350084,9006794.2,29.925,50.186455,47.5722725,0,0,12,3,6,15,3.9910975,4.3392325,0,0,51.15402,51.15402,48.4471275,0,50.978005,48.81841,50.6067,20.6931025,21.21414,1.0513975,20.19888,2.64619,15.74769,49.94273,45.20369667,0,0
Tanzania,7,37.0010475,37.9420225,1.0515075,36.0733725,72.0296525,73.4834475,1.0410375,70.60264,88.340925,90.090475,1.0404875,86.6272925,27.6592075,6.6002775,115.8858833,115.7938867,0.99897,115.9757533,0.14853,19.33333333,48.20444487,25495689.8,55.9,30.243475,49.38167667,7,5,14,5,7,18,16.9721125,3.714106667,18.60611667,28.21290333,50.9047975,51.21185333,50.467205,50.1048125,50.44182333,39.9971325,40.65407333,41.650935,41.838995,1.00978,41.4673625,3.84301,5.53708,49.6419225,35.78395,49.6419225,41.650935
Madagascar,5,47.656355,48.3884525,1.03162,46.9289275,103.7967233,104.11108,1.00615,103.4859867,144.5575567,144.76823,1.00294,144.35004,37.562765,23.0437625,168.6126367,170.19022,1.01884,167.06162,0.18231,6.229211696,48.84387461,13025955,55.875,26.208365,50.04409,6,3,11,3,6,15,39.457385,18.97147333,41.7751775,48.6722875,50.6342725,50.6787075,49.73835,50.08207,50.4505875,48.4430475,49.72721,30.9274425,32.293225,1.0893125,29.5901975,3.67305,36.3507225,51.6199825,48.205585,51.6199825,30.9274425
Central African Republic,10,20.475705,16.45731,0.670375,24.480485,70.89665,61.41572,0.76469,80.315,102.0189,89.3694,0.7801,114.56074,16.08741,9.48711,128.08882,115.69286,0.8244,140.33543,0,4.046418315,45.56089701,1845779.8,122.325,0,44.8875,6,3,12,3,6,16,23.85468,16.73034,22.81266,19.40304,40.03717,40.009865,43.61322,39.712545,39.568645,38.5019,37.87973,2.92555,2.99059,1.04513,2.86145,0,66.21027,50.74065,0,0,0
Chad,10,26.135715,17.24031,0.49291,34.977105,66.580545,55.86506,0.7232,77.245095,89.215,77.458445,0.76752,100.924515,22.48583,16.92875,108.79693,95.2103,0.778715,122.30842,0.44263,4.999999373,45.42634483,5602285.2,124.7,17.714295,43.63259,6,3,12,3,6,16,13.75335,11.74276,15.435405,19.40228,32.881935,32.923865,43.325055,31.03324,30.95409,26.70041,26.119205,0.872765,0.86067,0.98029,0.88476,13.61383,68.40017,49.25019,22.36675,49.25019,0.872765
Guinea,6,0,0,0,0,0,0,0,0,91.50917,82.36128,0.81931,100.52477,0,0,115.0017,106.52288,0.86336,123.3816,0,12,54.4268723,4165368.6,104.125,0,46.04187,7,2,13,4,7,17,0,30.63966,0,0,0,39.640955,44.67386,0,38.6253,0,36.26095,0,0,0,0,0,0,0,0,48.403945,0
Ivory Coast,10,58.63251,50.47644,0.754115,66.79705,82.0455175,75.9151675,0.8604825,88.1569075,96.178375,91.3228375,0.90368,101.0068725,46.7408025,29.37322,102.785915,99.36719,0.93572,106.1760925,0.558953333,42.57786572,41.3233425,8089146.4,85.325,36.3228425,48.1264425,6,3,12,3,6,16,47.997705,13.65536,51.264115,60.7857275,42.9976625,42.65405,47.3219175,42.3750575,41.9295325,40.5604675,39.62375,7.7934325,7.84667,1.01347,7.7407575,6.18818,27.72858,50.07466,40.37149,50.07466,7.7934325
Burkina Faso,10,51.0927775,51.9341475,1.0313175,50.2838075,77.4425775,77.1678775,0.9926975,77.70732,92.305125,91.375095,0.98028,93.20275,37.083215,15.9891825,107.9999025,104.928595,0.9454875,110.97018,0.333053333,14.65333333,44.68134248,7015016.8,81.45,27.524475,47.76388,6,3,12,3,6,16,38.2668075,19.5323425,40.03366,48.598315,49.7866675,49.9351725,48.618065,48.071745,48.2316625,39.7915325,38.9608125,3.8081975,3.8065025,0.9988725,3.8098225,6.027316667,75.605555,49.1372375,34.1479625,49.1372375,3.8081975
Afghanistan,9,65.150215,47.860845,0.5868,81.5621775,91.248675,71.91124,0.6556475,109.6907475,103.048235,82.7483275,0.675815,122.449005,53.098575,39.958175,109.62535,89.01744,0.688195,129.34037,0.72235,10.98666667,20.44435284,9944939.8,66.225,51.326075,39.698815,7,6,13,6,7,16,3.9042775,4.53476,3.579365,2.9996425,35.77537,35.77537,39.2412375,35.0096275,35.2125225,33.65568,34.1924025,0,0,0,0,0,0,0,24.61267,0,0
Rwanda,6,46.0509,49.2762375,1.1508575,42.7994425,109.7186625,110.5701025,1.015675,108.8627825,137.9066025,137.7646125,0.9978375,138.0483175,38.7256525,30.8208475,129.607445,126.0282925,0.9465675,133.1867075,0.456263333,19.92254421,51.59457628,6010538.2,38.075,24.7219225,48.6226475,7,1.75,13,4,7,16,6.81498,3.951675,14.513135,26.8151575,53.70558,53.70558,50.03448,52.7543,54.06636,51.244385,55.0114875,20.5226475,20.887495,1.0362225,20.1595175,6.042306667,45.0193625,50.772915,45.64609,50.780455,12.5609675
Benin,6,73.12084,66.153585,0.827905,79.907825,110.23909,104.7535,0.906395,115.576695,127.993375,123.6112175,0.9347175,132.253575,58.94464,38.066705,154.374495,150.81627,0.95555,157.83044,0.67813,14.41634527,49.14400959,4541998,96.5,46.67501,48.134685,6,4,12,4,6,16,13.79117,23.3553,15.57552,20.622345,44.63711,44.72685,47.6080025,41.7294,41.94076,33.505115,33.35837,24.72317,25.13528333,1.03334,24.32313,5.263346667,31.9838,50.07626667,29.24145,50.07626667,24.72317
Syria,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.409255,32.03427548,16.34241258,5185471.6,17.175,0,0,6,3,12,3,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.851525,0,0,51.367475,0,0
Burundi,0,56.4576275,59.884705,1.13702,53.037585,103.52843,105.3632225,1.036085,101.70303,126.056665,127.319015,1.0199925,124.8025,47.3861375,35.3309225,133.22257,132.0985025,0.9832575,134.3359825,0.285695,4.233533259,51.95140516,4664027.8,62.575,23.6691375,49.3383875,0,5,13,5,7,16.6,4.27051,1.8466725,8.0083425,15.6747125,53.0750425,53.090295,50.32612,50.5616225,50.9003225,45.5481275,44.8137075,14.2903075,14.5164575,1.0317875,14.0668725,4.80272,51.806645,50.4830075,30.73189,50.4830075,14.2903075
Togo,10,77.56587,68.12091,0.78347,86.94785,107.21811,101.90647,0.90584,112.49934,125.3166875,122.4475425,0.9554025,128.17114,61.84573,38.09897,140.7444825,137.5610375,0.95574,143.9136325,0.933896667,10.26340832,49.68083817,3504076.2,73.275,36.57159,48.7518725,6,3,12,3,6,16,25.81891,30.06521,27.0111,30.67759,43.76477,43.631865,48.7303,41.95472,41.3456175,36.38807,33.14196,20.58162667,20.91222333,1.03242,20.25266333,7.74353,31.87709667,50.67405667,31.147785,50.67405667,20.58162667
Belize,8,95.4436,95.20949,0.9953775,95.6748775,105.88364,104.0635125,0.9666875,107.6545775,113.074995,110.22774,0.9516975,115.8212875,84.2691475,61.83552,102.3155725,101.031265,0.9759425,103.5500625,2.255583333,44.41612204,38.61027609,168207,14.15,72.0578375,48.4025575,5,3,11,3,5,15,70.671305,87.3583625,65.48674,45.64321333,49.50753,49.887475,47.8631,50.55614,50.970535,53.8150375,54.72137,49.1665175,49.92562,1.031565,48.4306675,9.386933333,81.30052,49.9162575,61.80045667,49.9162575,49.1665175
South Sudan,8,20.7491,15.35936,0.5901,26.02852,61.0184,50.05294,0.69773,71.73711,72.98991,60.38093,0.7078,85.30755,11.00999,5.81113,98.91152,82.02901,0.71093,115.38271,0,0,0,0,0,1.14988,40.95451,6,3,12,3,6,14,0,0,40.19496,0,36.62939,36.62939,40.87908,34.49112,34.49112,30.41554,30.41554,11.25782,10.93654,0.94517,11.57104,0,71.93388,47.95622,0,47.95622,11.25782
Namibia,7,106.67944,109.65344,1.05766,103.67564,119.36387,118.47715,0.98522,120.25487,124.21378,121.987245,0.964735,126.446465,0,0,113.11719,113.3734,1.00455,112.86074,2.16674,35.90706592,48.87622917,907170,42.2,53.74452,50.13486,7,3,14,5,7,17,4.56187,5.998905,0,0,51.65011,51.65011,49.17144,0,52.22742,0,54.13975,33.85429,34.46975,1.037045,33.23871,9.944163333,14.95879,50.914255,65.00450333,51.68003,39.48407
Puerto Rico,13,90.184305,91.847145,1.036105,88.673445,87.46723,87.95937,1.010865,87.01134,86.04911,85.95765,0.997855,86.135125,88.1867,86.205855,90.00935,89.19079,0.98242,90.78719,0.31397,67.57056026,42.63610531,1101217.2,0,72.972005,48.28191,5,0,12,3,6,15,24.67242,24.880005,25.57389,26.51407,48.49077,48.477605,48.300215,49.48264,49.618855,50.516705,50.85436,0,0,0,0,0.323285,23.308885,49.25824,57.95683,49.19878,0
Gambia,9,62.9176,65.493035,1.0854875,60.36686,84.4657725,87.768315,1.08041,81.2122425,93.8297075,97.48868,1.080135,90.23353,0,0,105.36424,108.881725,1.068405,101.913915,0,18.27881815,43.89613261,730083.4,61.525,36.45128,51.172075,7,2,13,3,7,16,21.1693425,28.8267775,0,0,51.7975575,51.7975575,51.4935425,0,51.806935,0,51.8082875,38.631865,39.766725,1.059915,37.519435,0,71.9923525,50.9547675,0,0,0